Site,NomSite,Distance,Arbre,Poids,Surface,Largeur,Longueur,CircArbre
4,Gornies,6.3,1,11,0.73816,0.427,2.31502,18.5
4,Gornies,6.3,1,15,0.69958,0.489,2.15873,18.5
4,Gornies,6.3,1,14.6,0.75847,0.444,2.27595,18.5
4,Gornies,6.3,1,13.8,0.77878,0.474,2.25641,18.5
4,Gornies,6.3,1,12.2,0.62038,0.404,2.03175,18.5
4,Gornies,6.3,1,11.1,0.53712,0.339,2.04151,18.5
4,Gornies,6.3,1,14.2,0.67623,0.422,2.22711,18.5
4,Gornies,6.3,1,15.6,0.7077,0.452,2.14896,18.5
4,Gornies,6.3,1,15.1,0.61327,0.377,2.14896,18.5
4,Gornies,6.3,1,13.3,0.75644,0.447,2.14896,18.5
4,Gornies,6.3,1,12.5,0.73004,0.462,2.12943,18.5
4,Gornies,6.3,1,13.7,0.78182,0.474,2.23687,18.5
4,Gornies,6.3,1,17.1,0.89757,0.474,2.50061,18.5
4,Gornies,6.3,1,10,0.6082,0.417,2.03175,18.5
4,Gornies,6.3,1,9.9,0.58891,0.435,1.82662,18.5
4,Gornies,6.3,1,11.2,0.48331,0.356,1.87546,18.5
4,Gornies,6.3,1,13.1,0.68739,0.432,2.1978,18.5
4,Gornies,6.3,1,10.4,0.60312,0.393,2.07082,18.5
4,Gornies,6.3,1,15.3,0.78995,0.483,2.12943,18.5
4,Gornies,6.3,1,18.3,0.83259,0.411,2.63736,18.5
4,Gornies,6.3,2,9.7,0.51045,0.30936,2.2871,15
4,Gornies,6.3,2,10.6,0.69304,0.37044,2.50122,15
4,Gornies,6.3,2,12.2,0.82654,0.44631,2.7056,15
4,Gornies,6.3,2,12.3,0.67242,0.37833,2.47202,15
4,Gornies,6.3,2,19.3,0.62825,0.40394,2.29684,15
4,Gornies,6.3,2,10.5,0.59389,0.3665,2.29684,15
4,Gornies,6.3,2,11.5,0.54088,0.33103,2.35523,15
4,Gornies,6.3,2,9.6,0.48886,0.28966,2.29684,15
4,Gornies,6.3,2,9.4,0.54481,0.333,2.39416,15
4,Gornies,6.3,2,10.3,0.66752,0.3931,2.3163,15
4,Gornies,6.3,2,15.8,0.77353,0.43744,2.7056,15
4,Gornies,6.3,2,10.4,0.49671,0.30148,2.17032,15
4,Gornies,6.3,2,9.2,0.61745,0.34975,2.53041,15
4,Gornies,6.3,2,10.4,0.54972,0.35567,2.19951,15
4,Gornies,6.3,2,12.9,0.62138,0.35271,2.49148,15
4,Gornies,6.3,2,11,0.51143,0.30246,2.24818,15
4,Gornies,6.3,2,11.8,0.7274,0.39212,2.48175,15
4,Gornies,6.3,2,10.5,0.70973,0.41576,2.3455,15
4,Gornies,6.3,2,11.1,0.68911,0.40197,2.42336,15
4,Gornies,6.3,2,12,0.66948,0.37143,2.3455,15
4,Gornies,6.3,3,22.7,0.7472,0.45507,2.19643,21
4,Gornies,6.3,3,27.1,0.77488,0.4657,2.14286,21
4,Gornies,6.3,3,29.2,0.83023,0.48889,2.29464,21
4,Gornies,6.3,3,25.2,0.77934,0.45121,2.3125,21
4,Gornies,6.3,3,22.8,0.68114,0.42995,2.17857,21
4,Gornies,6.3,3,22.6,0.67579,0.4087,2.17857,21
4,Gornies,6.3,3,26.9,0.71239,0.43768,2.20536,21
4,Gornies,6.3,3,24.5,0.67132,0.3971,2.3125,21
4,Gornies,6.3,3,28.7,0.59723,0.40676,1.98214,21
4,Gornies,6.3,3,30.2,0.75881,0.4058,2.45536,21
4,Gornies,6.3,3,25.4,0.62758,0.39614,2.26786,21
4,Gornies,6.3,3,23.2,0.76863,0.48696,2.20536,21
4,Gornies,6.3,3,21.1,0.69632,0.42609,2.08036,21
4,Gornies,6.3,3,23.6,0.67043,0.45024,1.99107,21
4,Gornies,6.3,3,24.5,0.78916,0.45411,2.34821,21
4,Gornies,6.3,3,22.5,0.674,0.40966,2.14286,21
4,Gornies,6.3,3,23.1,0.59187,0.41159,1.96429,21
4,Gornies,6.3,3,26.4,0.73471,0.42319,2.3125,21
4,Gornies,6.3,3,22.8,0.59723,0.37681,2.11607,21
4,Gornies,6.3,3,19.8,0.5267,0.34106,2.04464,21
4,Gornies,6.3,4,22.7,0.87292,0.4781,2.54825,35
4,Gornies,6.3,4,27.7,0.94552,0.51572,2.63664,35
4,Gornies,6.3,4,28.6,0.92876,0.47556,2.74652,35
4,Gornies,6.3,4,26.6,0.84011,0.49986,2.32801,35
4,Gornies,6.3,4,20.7,1.10397,0.5373,2.96997,35
4,Gornies,6.3,4,29.3,0.90642,0.53637,2.57374,35
4,Gornies,6.3,4,26.1,0.82685,0.47026,2.537,35
4,Gornies,6.3,4,25.6,0.67886,0.42228,2.19279,35
4,Gornies,6.3,4,25.8,0.88828,0.48972,2.50153,35
4,Gornies,6.3,4,27.3,1.01602,0.55453,2.72049,35
4,Gornies,6.3,4,32.4,0.90538,0.4967,2.64098,35
4,Gornies,6.3,4,20.1,0.69247,0.46354,2.16515,35
